,sigma_hat,var_fhs
2011-03-11,0.008008449222446805,19738.596414602136
2011-03-14,0.007784769127900008,19187.28729224869
2011-03-15,0.007567233681568409,18651.1230160272
2011-03-16,0.008166026166605162,20126.979685644194
2011-03-17,0.008244711317209254,20320.91666251146
2011-03-18,0.008016323422507774,19810.97529968127
2011-03-21,0.00824645962514429,20379.717650219834
2011-03-22,0.008421348621368757,20811.925958415206
2011-03-23,0.008182523435693832,20221.710269130104
2011-03-24,0.008067407851386014,19937.221747755408
2011-03-25,0.007861349777851516,19427.984384199186
2011-03-28,0.007693828385189393,19013.983850877477
2011-03-29,0.007643116132961682,18888.657173880692
2011-03-30,0.007435810968127555,18376.337837001884
2011-03-31,0.007252742846971551,17923.916217360435
2011-04-01,0.007107740764729412,17565.56831667123
2011-04-04,0.006933863362664169,17135.859990805096
2011-04-05,0.006803949540666442,16814.800150397736
2011-04-06,0.007204575341369289,17804.87844737047
2011-04-07,0.007106489091886741,17562.475020846883
2011-04-08,0.006946942892179576,17168.1838158935
2011-04-11,0.00678687816670038,16772.611162984416
2011-04-12,0.006651967270355501,16439.20190611212
2011-04-13,0.007099680622795332,17545.64905139812
2011-04-14,0.006904939583242327,17064.379805999844
2011-04-15,0.007641193221515261,18883.905026398526
2011-04-18,0.007434576061522702,18373.28597607304
2011-04-19,0.007232965058584769,17875.038788573976
2011-04-20,0.007103579296708523,17555.283958639866
2011-04-21,0.007342215138976222,18145.03171800673
2011-04-25,0.007245422969276667,17905.826388823472
2011-04-26,0.007052226143891009,17428.373405209346
2011-04-27,0.006879882180713305,17002.454711862196
2011-04-28,0.008354151029918317,20645.858578862506
2011-04-29,0.008134106454342925,20102.055962402057
2011-05-02,0.008489719391688794,20980.89264933331
2011-05-03,0.008778041303743461,21693.43105091953
2011-05-04,0.008630384858682089,21328.523345507303
2011-05-05,0.009145871878588134,22602.461543907764
2011-05-06,0.011242686990617333,31132.43693279703
2011-05-09,0.010957076258557779,30341.54431872757
2011-05-10,0.010691776198936178,29606.89455205438
2011-05-11,0.010581982386710275,29302.861455910464
2011-05-12,0.01072860351764393,29708.87410356461
2011-05-13,0.010409926776387902,28826.417484663598
2011-05-16,0.010372805645694339,28723.624330219653
2011-05-17,0.010310822090081741,28551.983944109983
2011-05-18,0.010049198754041524,27827.51549486671
2011-05-19,0.01015598920468127,28123.231898991588
2011-05-20,0.009852630128772397,27283.191852817003
2011-05-23,0.00964252813370366,26701.392580419655
2011-05-24,0.009617408455187586,26631.832980670377
2011-05-25,0.009332128455400289,25841.85620652568
2011-05-26,0.009069224613634581,25113.841873298075
2011-05-27,0.008874693230186083,24575.15961418027
2011-05-31,0.009383719027765313,25946.505843769282
2011-06-01,0.009113899925642427,25200.440995783396
2011-06-02,0.009038616828788721,24992.279039242276
2011-06-03,0.008775267303272048,24264.10293096855
2011-06-06,0.008521093190816837,23561.297350937824
2011-06-07,0.00831478864478584,22990.8537887051
2011-06-08,0.008096167967454214,22386.355437340386
2011-06-09,0.007924016008256114,21910.34568021389
2011-06-10,0.007739501698353104,21400.153334727856
2011-06-13,0.008046645623947047,22249.423398837964
2011-06-14,0.008278792402995151,22891.322174937435
2011-06-15,0.008698675255151828,24052.32165125873
2011-06-16,0.008644761348164286,23903.246695095448
2011-06-17,0.00872158545544556,24115.669631312736
2011-06-20,0.008554016092812696,23652.331008968486
2011-06-21,0.008357089133477203,23107.816996339217
2011-06-22,0.008289970106677367,22922.229148286955
2011-06-23,0.008063275095854942,22295.404815029167
2011-06-24,0.00924796824139016,25571.147357271846
2011-06-27,0.00978126210628771,27045.73460152631
2011-06-28,0.009492261257057646,26246.63115424546
2011-06-29,0.009647896616545845,26676.971593095896
2011-06-30,0.009747489387784454,26952.351153512584
2011-07-01,0.009459132961078472,26155.0295704092
2011-07-05,0.0091847949749122,25396.469756313163
2011-07-06,0.00917957071233133,25382.02437925287
2011-07-07,0.008911109595045161,24639.714434988775
2011-07-08,0.008741933147020497,24171.932132011465
2011-07-11,0.008630779817206773,23864.58698313897
2011-07-12,0.008668361676652801,23968.502918052494
2011-07-13,0.008640447802423339,23891.31950083018
2011-07-14,0.008507937400537546,23524.920857955563
2011-07-15,0.008491757004927993,23480.18116274564
2011-07-18,0.008247947956287166,22806.035561560737
2011-07-19,0.008044535020129275,22243.587461707957
2011-07-20,0.008016327254486186,22165.59141835537
2011-07-21,0.008099721768491365,22396.181895177113
2011-07-22,0.00792180250871055,21904.2252306646
2011-07-25,0.00786243496368387,21740.07066152126
2011-07-26,0.007746518653367468,21419.555606230973
2011-07-27,0.007546545059999401,20866.61748078502
2011-07-28,0.0074384201296336236,20567.64602508694
2011-07-29,0.007357586785185375,20344.13732476331
2011-08-01,0.0074125040634801164,20495.986658485075
2011-08-02,0.007452781469848129,20607.35593079676
2011-08-03,0.007298779196123211,20181.531065054918
2011-08-04,0.007159920555844004,19797.579189385815
2011-08-05,0.008082512060537991,22348.596093997374
2011-08-08,0.007908262440144063,21866.78618681153
2011-08-09,0.008366678491562427,23134.332105632246
2011-08-10,0.008406620147112276,23220.51667150758
2011-08-11,0.0109870478794269,30348.097569570953
2011-08-12,0.010955317576440653,30260.453068381354
2011-08-15,0.010826179831172546,29903.75262106198
2011-08-16,0.01102253516836458,30446.119505852574
2011-08-17,0.010873360505621724,30034.073679757184
2011-08-18,0.010563167902464017,29177.268877475726
2011-08-19,0.010342223449851253,28566.98266784674
2011-08-22,0.010138612901863773,28004.57565512331
2011-08-23,0.011469579349429587,31680.931675031672
2011-08-24,0.013705911639116329,39437.73004636799
2011-08-25,0.01378948122658506,39678.195249811455
2011-08-26,0.01340101103597186,38560.40148958171
2011-08-29,0.014027932040609734,40364.31953548123
2011-08-30,0.013610268053527495,39162.52282130796
2011-08-31,0.014030278321871694,40371.07078337034
2011-09-01,0.013679898159233057,39362.878214237746
2011-09-02,0.01345709046268477,38721.76582273171
2011-09-06,0.013132719036724194,37788.411437513045
2011-09-07,0.012905380197584353,37134.26102394524
2011-09-08,0.013277056633052165,38203.732016647555
2011-09-09,0.013533928459506406,38942.86138030898
2011-09-12,0.014048276751682527,40422.85991165513
2011-09-13,0.014896462828465446,42863.45156334693
2011-09-14,0.014915520539271514,42918.28869303675
2011-09-15,0.01445880369993989,41604.12033332067
2011-09-16,0.014077939961682953,40508.21356773496
2011-09-19,0.013901577226252427,40000.743059148146
2011-09-20,0.015057115639280326,43325.717945250726
2011-09-21,0.014688745355819243,42265.760156322576
2011-09-22,0.01527174856119992,43943.3080375121
2011-09-23,0.018191038729084088,52343.34596271319
2011-09-26,0.01982409886982548,57042.35371030692
2011-09-27,0.019206692238658535,55265.81255858172
2011-09-28,0.019309775442709773,55562.426726302234
2011-09-29,0.01951601934677771,56155.878050556115
2011-09-30,0.018916973179968644,54432.16775429956
2011-10-03,0.018436815694438214,53050.5506979012
2011-10-04,0.01789629044626674,51495.22994420582
2011-10-05,0.017962859212174977,51686.77656208393
2011-10-06,0.019551560134675832,56258.14399503814
2011-10-07,0.019251084901895647,55393.549108683794
2011-10-10,0.01865325358095028,53673.33444004267
2011-10-11,0.01884542707277829,54226.29921118208
2011-10-12,0.018355589140085737,52816.827396051856
2011-10-13,0.017998189184507386,51788.4359006291
2011-10-14,0.01750981416619935,50383.173511628025
2011-10-17,0.01726342254487133,49674.20015009773
2011-10-18,0.01697374210551299,48840.666470037904
2011-10-19,0.01644948849513985,47332.16613046744
2011-10-20,0.016557514001924668,46162.395139715074
2011-10-21,0.016120037532759472,44942.709525583414
2011-10-24,0.016114998692094103,44928.661223778334
2011-10-25,0.015986071853232503,44569.21283805136
2011-10-26,0.015577415073944095,43429.87659954104
2011-10-27,0.015641285160460917,43607.9465785883
2011-10-28,0.017810201551530312,49654.8915159691
2011-10-31,0.017210685800372553,47983.439932463836
2011-11-01,0.01876386875131026,52313.71832432393
2011-11-02,0.019518766690494904,54418.37588069062
2011-11-03,0.01903301810359221,53064.10746789906
2011-11-04,0.019404513239016607,54099.83693984453
2011-11-07,0.018822338374229454,52476.73179582406
2011-11-08,0.018850650603314926,52555.666369346254
2011-11-09,0.018219197857211804,50795.17435500872
2011-11-10,0.019163877979436205,53428.945166115256
2011-11-11,0.018570881390968495,51775.66902634165
2011-11-14,0.01876032302867013,52303.83283973061
2011-11-15,0.018139919666846346,50574.1465395295
2011-11-16,0.01752833299142208,48869.041185559225
2011-11-17,0.01770006987282742,49347.84408909741
2011-11-18,0.01887258531036532,52616.82039367723
2011-11-21,0.01825814272508529,50903.75275507715
2011-11-22,0.018852508628646278,52560.846549143505
2011-11-23,0.018239955958078747,50853.047998024114
2011-11-25,0.017794537477765292,49611.22003469755
2011-11-28,0.017214049924323082,47992.8191194049
2011-11-29,0.01732311470007044,48296.8920178659
2011-11-30,0.016751348333791972,46702.805796668836
2011-12-01,0.017829045278872097,49707.42788026603
2011-12-02,0.017233396535126476,48046.757524193
2011-12-05,0.016681328410737106,46507.59005623005
2011-12-06,0.016387204092083427,45687.57063687083
2011-12-07,0.01589738366432828,44321.9499204451
2011-12-08,0.015381840614060272,42884.61446083206
2011-12-09,0.016130855594594064,44972.87031209981
2011-12-12,0.015730550182601236,43565.75853136839
2011-12-13,0.016876330497207815,46738.997098151376
2011-12-14,0.017976780858756577,49786.6943605152
2011-12-15,0.019563553742262006,54181.26184127507
2011-12-16,0.01893113791113296,52429.78620497748
2011-12-19,0.018463519755127198,51134.71772784542
2011-12-20,0.01793689595981873,49676.233133412265
2011-12-21,0.01831983231543256,50736.775365432
2011-12-22,0.017733381448867283,49112.59969791128
2011-12-23,0.01718228695651501,47586.343508325415
2011-12-27,0.016732519367659352,46340.71217668936
2011-12-28,0.01629355058129693,45124.98812842148
2011-12-29,0.01756319053964599,48641.25597697966
2011-12-30,0.01701527998961265,47123.81771560573
2012-01-03,0.016926585289970444,46872.26020855648
2012-01-04,0.017765091157200423,49194.209055409425
2012-01-05,0.01727823782842168,47846.03897154492
2012-01-06,0.01674815357694571,46378.15596135729
2012-01-09,0.016400811846189575,45416.31447316659
2012-01-10,0.015929055967376864,44109.951498720235
2012-01-11,0.01589250859432272,44008.74632647867
2012-01-12,0.015377962004479932,42583.8894380177
2012-01-13,0.014896239708493455,41249.927955596286
2012-01-17,0.014592170454043875,40407.91446192208
2012-01-18,0.014198167378896594,39316.86069384651
2012-01-19,0.014153238448367338,39192.445728477964
2012-01-20,0.013846425705203618,38342.83510196889
2012-01-23,0.013591661266280655,37637.35405729773
2012-01-24,0.013205722927046231,36568.63275579737
2012-01-25,0.01282779976052683,35522.10667292375
2012-01-26,0.013345736695850255,36956.35193788493
2012-01-27,0.012918428885112562,35773.072348355825
2012-01-30,0.012571107817941235,34594.71883219829
2012-01-31,0.01236780687020546,34035.25030905023
2012-02-01,0.011978389335063577,32963.60329657815
2012-02-02,0.01168256044558744,32149.505016451832
2012-02-03,0.011519229862998782,31700.03185440563
2012-02-06,0.01118448556488627,30778.841372103303
2012-02-07,0.010943609404942767,30115.968763952384
2012-02-08,0.01139921378943203,31369.756879398206
2012-02-09,0.011042410308102183,30387.86122678602
2012-02-10,0.010695313854887013,29432.678566631366
2012-02-13,0.010904570075233487,30008.535540544453
2012-02-14,0.010694120473250596,29429.394472439413
2012-02-15,0.010990073748866468,30243.83505362567
2012-02-16,0.01069407054046919,29429.257061277385
2012-02-17,0.010393930902840774,28603.295934817692
2012-02-21,0.010071898789629878,27717.088404597493
2012-02-22,0.010859886925013657,29885.570958522036
2012-02-23,0.010617334927503332,29218.086574680998
2012-02-24,0.010286616841523393,28307.975917538253
2012-02-27,0.009975542197969074,27451.922498425156
2012-02-28,0.00974204497342026,26809.356151182754
2012-02-29,0.009737728302328637,26797.477005377277
2012-03-01,0.01421359507290634,39359.58229868617
2012-03-02,0.014072533066869938,38968.96039006075
2012-03-05,0.013690284634392962,37910.45699528625
2012-03-06,0.013405484823235038,37121.80348796297
2012-03-07,0.013915915981068483,38535.26412628204
2012-03-08,0.01350495392285781,37397.248383691105
2012-03-09,0.01353323502647265,37475.56301271469
2012-03-12,0.013293523218761307,36811.764967590534
2012-03-13,0.013155546073660023,36429.685502817854
2012-03-14,0.01273844184801996,35274.66117491198
2012-03-15,0.012365663386818337,34403.54371932473
2012-03-16,0.012130863302624573,33750.2868167899
2012-03-19,0.011778387545453437,32769.63460732042
2012-03-20,0.011662368666678326,32446.848805754656
2012-03-21,0.011507904736961722,32017.101820669428
2012-03-22,0.011228328389762187,31239.269141346995
2012-03-23,0.011123431670239565,30947.42722690856
2012-03-26,0.01094041134625324,30438.231114995913
2012-03-27,0.012029015711301145,33466.928136289294
2012-03-28,0.011899143503700723,33105.599832878645
2012-03-29,0.011899988811684142,33107.9516347395
2012-03-30,0.011555756055768814,32150.232966739775
2012-04-02,0.011324418429164063,31506.60925632037
2012-04-03,0.011089655933244923,30853.45693126019
2012-04-04,0.011212398605066396,31194.949558395605
2012-04-05,0.01213098797904536,33750.633689461356
2012-04-09,0.01174390913259248,32673.70933852333
2012-04-10,0.011466579341819615,31654.523456223546
2012-04-11,0.011106951339994594,30661.73801603852
2012-04-12,0.01076633937806074,29721.448064074993
2012-04-13,0.010852072586790652,29958.1222967139
2012-04-16,0.011055560344532454,30519.868551501513
2012-04-17,0.010880114401621545,30035.534248339463
2012-04-18,0.010621276101950067,29320.987844911393
2012-04-19,0.010489389950582042,28956.9042636114
2012-04-20,0.010205992423277981,28174.55990370584
2012-04-23,0.009888877326844821,27299.135162017086
2012-04-24,0.009675660228697636,26710.530188086217
2012-04-25,0.009393034709452767,25930.317025854318
2012-04-26,0.009186112721508629,25359.090269754735
2012-04-27,0.009064448645855174,25023.225647730418
2012-04-30,0.008789686591102151,24264.720286385265
2012-05-01,0.008523509256440971,23529.91381687277
2012-05-02,0.008264255867824146,22814.221523082353
2012-05-03,0.008185674596181889,22597.290855943655
2012-05-04,0.0085728999204412,23666.26118652047
2012-05-07,0.008399449522430581,23187.43576451391
2012-05-08,0.008276094202039414,22846.90230929844
2012-05-09,0.009118856760109173,25173.424140020168
2012-05-10,0.009239311705525204,25505.950849287663
2012-05-11,0.009047833429779571,24977.357849556534
2012-05-14,0.009162982902182749,25295.238323453796
2012-05-15,0.010030624708353664,27690.441555935773
2012-05-16,0.010277111653898214,28370.89093554602
2012-05-17,0.010026727304140066,27679.682421112735
2012-05-18,0.00991969606584946,27384.213062551527
2012-05-21,0.009721637094462299,26837.453460703648
2012-05-22,0.00955378647542546,26374.086732139225
2012-05-23,0.009512661110168128,26260.55646296504
2012-05-24,0.009621348171523308,26560.596870003257
2012-05-25,0.009262320975488361,25528.92923704924
2012-05-29,0.009011916266892323,24838.76053059981
2012-05-30,0.00898593265182267,24767.144153647285
2012-05-31,0.008879575452727355,24474.00106167925
2012-06-01,0.008803632770116514,24264.68685462742
2012-06-04,0.009262596861204273,25529.68963683863
2012-06-05,0.008998933030691623,24802.97596654587
2012-06-06,0.008780840402614046,24201.866235621106
2012-06-07,0.00875153325780822,24121.08950289204
2012-06-08,0.008883569258335128,24485.008840508894
2012-06-11,0.008614823460839445,23744.28818688677
2012-06-12,0.00837149189344461,23073.61456397926
2012-06-13,0.008328400125519275,22954.844474173853
2012-06-14,0.008090700558056324,22299.693842545163
2012-06-15,0.008035894644796916,22148.63707339692
2012-06-18,0.007797739238585137,21492.230053094896
2012-06-19,0.007567112145722876,20856.572667715132
2012-06-20,0.007346830088746568,20249.42840445521
2012-06-21,0.0072773863034186325,20058.026542407755
2012-06-22,0.009526742065826588,26632.708920035
2012-06-25,0.009708964764413342,27142.125891393214
2012-06-26,0.009434434105743015,26374.655220782806
2012-06-27,0.009193256947366175,25700.426716134585
2012-06-28,0.00892214292931223,24942.507515942056
2012-06-29,0.009331812779263647,26087.76974637527
2012-07-02,0.011794513405078567,32972.43067991614
2012-07-03,0.011416053318689905,31914.41764156629
2012-07-05,0.01163303573247209,32521.00795618778
2012-07-06,0.011834470436510647,33084.13350340881
2012-07-09,0.012527671335692941,35022.02765898306
2012-07-10,0.01218028763939243,34050.89095734773
2012-07-11,0.012128466831235439,33906.02207246453
2012-07-12,0.011750344272487771,32848.95261748798
2012-07-13,0.01152518374619615,32219.49978717392
2012-07-16,0.011565511322307431,32332.238495601327
2012-07-17,0.011199168893575629,31308.101261481068
2012-07-18,0.010842603600965863,30311.29673130204
2012-07-19,0.010498529055892823,29349.41100558321
2012-07-20,0.010190691680455726,28488.82895580433
2012-07-23,0.01001218711950561,27989.806311984004
2012-07-24,0.01013446335624339,28331.638535253296
2012-07-25,0.009851707836276886,27541.17465927476
2012-07-26,0.009697832951829645,27111.00608965559
2012-07-27,0.009889952772563939,27648.091194724173
2012-07-30,0.01135335223901542,31739.132156517568
2012-07-31,0.011044955488545963,30876.98633264771
2012-08-01,0.011042512795453423,30870.157604246633
2012-08-02,0.010726829177387985,29987.640805464092
2012-08-03,0.010993034378802821,30731.837047295005
2012-08-06,0.011984671860008836,33504.03264245989
2012-08-07,0.011823122959757444,32969.683189199255
2012-08-08,0.011510988640833598,32099.272753443554
2012-08-09,0.011153679794586353,31102.889691069344
2012-08-10,0.010818007101966098,30166.840698884767
2012-08-13,0.010527887368646835,29357.819619849375
2012-08-14,0.010386187394597488,28962.678398005857
2012-08-15,0.010085610463943238,28124.496623919338
2012-08-16,0.009913491839411233,27644.530667285377
2012-08-17,0.009787254539207537,27292.50829480883
2012-08-20,0.009485403030109026,26450.77226118783
2012-08-21,0.009220020293086785,25710.732189432936
2012-08-22,0.009016526121053182,25143.273117440513
2012-08-23,0.008813824563204054,24578.024310759745
2012-08-24,0.008559841329872885,23869.77262744401
2012-08-27,0.008315749514064408,23189.103918874058
2012-08-28,0.008220097134097895,22922.369937122967
2012-08-29,0.007978251459262118,22247.964764551092
2012-08-30,0.00776197659330101,21644.865749443623
2012-08-31,0.007720615312889483,21529.52665366417
2012-09-04,0.008337092222012713,23248.61969333147
2012-09-05,0.008095967395941556,22576.224662705834
2012-09-06,0.007879629549813624,21972.95002258334
2012-09-07,0.008704177890615413,24272.26617305773
2012-09-10,0.009580362481356845,26715.573958177465
2012-09-11,0.009348798293775962,26069.839499651403
2012-09-12,0.009117599455757299,25425.123846339557
2012-09-13,0.009051596130840053,25241.068523616257
2012-09-14,0.010658102448662969,29720.934335749804
2012-09-17,0.010979137399444021,30616.164864598893
2012-09-18,0.010857241571068219,30276.249018564453
2012-09-19,0.010520467982573731,29337.13009398373
2012-09-20,0.01024126996119306,28558.56504452062
2012-09-21,0.00992364763804851,27672.850889002093
2012-09-24,0.009637053229683955,26873.660448393734
2012-09-25,0.00953628032112858,26592.647480801872
2012-09-26,0.00944528102228655,26338.888971863675
2012-09-27,0.00958451057133951,26727.141224544754
2012-09-28,0.009894456549411722,27591.44930436337
2012-10-01,0.009645883656846816,26898.28477032422
2012-10-02,0.009349343096121523,26071.358722685367
2012-10-03,0.00906383904290554,25275.20882085297
2012-10-04,0.008815887825477453,24583.77787550924
2012-10-05,0.009002751376116953,25104.861187013565
2012-10-08,0.008730901804283294,24346.78785148436
2012-10-09,0.008502562995724617,23710.047609197878
2012-10-10,0.008701267026675312,24264.149006194235
2012-10-11,0.008609590490640954,23602.434167924053
2012-10-12,0.008351253969085396,22894.22734324248
2012-10-15,0.008280669438993605,22700.72606968291
2012-10-16,0.008170453174750987,22398.577886926865
2012-10-17,0.00834012411258094,22925.227808419
2012-10-18,0.00841432922587496,23129.20188648443
2012-10-19,0.008201269985231331,22543.547337162327
2012-10-22,0.009364010590277999,25739.67402460377
2012-10-23,0.009118955703838957,25066.070248287455
2012-10-24,0.009531535653487027,26200.164802180254
2012-10-25,0.009359662181194977,25727.721172645353
2012-10-26,0.009359830377517126,25728.183508571026
2012-10-31,0.009243142354286096,25407.432944313823
2012-11-01,0.008964380889718597,24641.17695181867
2012-11-02,0.008769893566623914,24106.57265485511
2012-11-05,0.009813439372188168,26975.058183145076
2012-11-06,0.009517460129222893,26161.474178884677
2012-11-07,0.010396532889815851,28577.85827877702
2012-11-08,0.010527762861782877,28938.581568026195
2012-11-09,0.010214834957970764,28078.409298925075
2012-11-12,0.00992157556442717,27272.301582397915
2012-11-13,0.009655873581374387,26541.943327723366
2012-11-14,0.009443652418180277,25958.592475107933
2012-11-15,0.009179085477656463,25231.354210999183
2012-11-16,0.009058919285395105,24901.04289964756
2012-11-19,0.008786031839755501,24150.933336180944
2012-11-20,0.009176955687419185,25225.49987049841
2012-11-21,0.008900169274463974,24464.672874926313
2012-11-23,0.008683875298962801,23870.12672728889
2012-11-26,0.009040102396599298,24849.319273420126
2012-11-27,0.00881140879268368,24220.689183828876
2012-11-28,0.008678288817259449,23854.770676951015
2012-11-29,0.008829388624001105,24270.111917033424
2012-11-30,0.008597776814465007,23633.4603006953
2012-12-03,0.008457003577109266,23246.504604095928
2012-12-04,0.00820711489531368,22559.61375216393
2012-12-05,0.008315252832643815,22856.86194830123
2012-12-06,0.008080138474441967,22210.582570434803
2012-12-07,0.007844357196778735,21562.469972777435
2012-12-10,0.007693216604260529,21147.016621267652
2012-12-11,0.007471917309698328,20538.711915822343
2012-12-12,0.007302099048314865,20071.917624071597
2012-12-13,0.00721838723382586,19841.81164584981
2012-12-14,0.007283211269661813,20019.999136700044
2012-12-17,0.00718127259672527,19739.79140021889
2012-12-18,0.007403684496117046,20351.154419765342
2012-12-19,0.007256166600035663,19945.659090459285
2012-12-20,0.00714714438016315,19645.980189639737
2012-12-21,0.00727798989451127,20005.646686642514
2012-12-24,0.0071359111569807175,19615.102447653662
2012-12-26,0.0069360333574340115,19065.680877111143
2012-12-27,0.006759179294925225,18579.54666410318
2012-12-28,0.006576081854747145,18076.25073342405
2012-12-31,0.006528598459728699,17945.72897700643
2013-01-02,0.006969933012499151,19134.80552546187
2013-01-03,0.008367490562382394,22971.57007968363
2013-01-04,0.008353920686746931,22934.316216436502
2013-01-07,0.00818173240041361,22461.6015767345
2013-01-08,0.008126442442016317,22309.812083270812
2013-01-09,0.007912843722654096,21723.411905800767
2013-01-10,0.007692046837301618,21117.25034667662
2013-01-11,0.00799836046032864,21958.18405377405
2013-01-14,0.007772044274077847,21336.87016117175
2013-01-15,0.007583315587186867,20818.746570276606
2013-01-16,0.007402810561946511,20323.19969082326
2013-01-17,0.007237730920817661,19870.000668171397
2013-01-18,0.007367530088070165,20226.342948404155
2013-01-22,0.007159938476849017,19656.434299022512
2013-01-23,0.007045540727671662,19342.37408077741
2013-01-24,0.006862188857690702,18839.011656988852
2013-01-25,0.006951455145691871,19084.077579117387
2013-01-28,0.006987430721672113,19182.842610117532
2013-01-29,0.006794240958682954,18652.47186800589
2013-01-30,0.006820760577330818,18725.277122306936
2013-01-31,0.0066385098014647695,18224.93757143786
2013-02-01,0.006595029518955643,18105.569602117022
2013-02-04,0.0065239083045627085,17910.317997302027
2013-02-05,0.0063664607604643295,17478.07164265538
2013-02-06,0.006210186102285426,17049.04525352813
2013-02-07,0.006048143230284261,16604.183181400724
2013-02-08,0.0060666937424596525,16655.110563663548
2013-02-11,0.005945773890047638,16323.144982943882
2013-02-12,0.0063665334763262395,17478.271272102862
2013-02-13,0.006270158890381008,17213.690686270565
2013-02-14,0.006121413144742773,16805.33368909092
2013-02-15,0.006213465123086551,17058.047266206155
2013-02-19,0.007106316311600589,19509.223457534823
2013-02-20,0.0069238672727589,19008.339608252118
2013-02-21,0.008789685322642692,24755.760944000285
2013-02-22,0.008542192815511883,24058.709216087063
2013-02-25,0.008294687720115872,23361.62203388024
2013-02-26,0.008140589093456217,22927.610050134026
2013-02-27,0.008035841519396368,22632.593128855897
2013-02-28,0.007818020136851638,22019.108814363088
2013-03-01,0.007877288183583525,22186.034653304418
2013-03-04,0.007791793667197145,21945.243119592513
2013-03-05,0.007569200005572369,21318.31789160541
2013-03-06,0.007503590743069423,21133.532298195027
2013-03-07,0.00754132372688343,21239.805582472574
2013-03-08,0.007328098115871709,20639.26505575466
2013-03-11,0.00741323495947225,20879.0492198444
2013-03-12,0.00721332100378026,20316.000383075305
2013-03-13,0.0070278019914726455,19793.49426929858
2013-03-14,0.006847025581037872,19284.345484471294
2013-03-15,0.006686028981918641,18927.752333163535
2013-03-18,0.006510039966593615,18429.537846741503
2013-03-19,0.0063433158095493256,17957.551625768796
2013-03-20,0.006185104224159532,17509.66399133084
2013-03-21,0.006054352519328352,17139.513653532977
2013-03-22,0.005949773664250876,16843.45710433982
2013-03-25,0.005891727984391907,16679.1332201102
2013-03-26,0.005750416541232508,16279.08888808646
2013-03-27,0.005742234002306915,16255.92460467415
2013-03-28,0.005605159167760807,15867.873860889675
2013-04-01,0.005709007745204243,16161.863037322564
2013-04-02,0.005575803623465805,15784.77005240729
2013-04-03,0.005775771165975451,16350.866330112596
2013-04-04,0.0068065292395482705,19268.881430668807
2013-04-05,0.006706291948281306,18985.115591666443
2013-04-08,0.0067275066979770514,19045.17329245372
2013-04-09,0.00656865421736384,18595.471321569843
2013-04-10,0.006750322346072467,19109.76304186081
2013-04-11,0.006604443243354225,18696.787935964294
2013-04-12,0.0064318663785329026,18208.233045669087
2013-04-15,0.011409582065587072,32435.709088000378
2013-04-16,0.020559261169211508,62741.69555656548
2013-04-17,0.020095565809894852,61326.61391400109
2013-04-18,0.01948071296228662,59450.23762502755
2013-04-19,0.018862904464276107,57564.84143421097
2013-04-22,0.018357375251705322,56022.0933904454
2013-04-23,0.017984895183423735,54885.37788045374
2013-04-24,0.01741656767066924,53150.985214871864
2013-04-25,0.016898518459048727,51570.029282102834
2013-04-26,0.01693724726327548,51688.2198544228
2013-04-29,0.016409867545567745,50078.78956318849
2013-04-30,0.016048701631099158,48976.602005742054
2013-05-01,0.015566528870072387,47505.13197921626
2013-05-02,0.015389344067907547,43783.36606951028
2013-05-03,0.014991174130616727,42650.554947388926
2013-05-06,0.014722596935620265,41886.440921829206
2013-05-07,0.014285995662677456,40644.290946150075
2013-05-08,0.013925163129787593,39617.7063946843
2013-05-09,0.013763816239435716,39158.66733926509
2013-05-10,0.01348670153751725,38370.26372805198
2013-05-13,0.013072861169194651,37192.86953498857
2013-05-14,0.012757284009198885,36295.038525538024
2013-05-15,0.01242531638293864,35350.57591298985
2013-05-16,0.012547960000671314,35699.50244212482
2013-05-17,0.01251125001214706,35595.06089745127
2013-05-20,0.012159664561927781,34594.78470609848
2013-05-21,0.012681633518552704,36079.80952612881
2013-05-22,0.012581108683888138,35793.81191532914
2013-05-23,0.012231496357199063,34799.14934788664
2013-05-24,0.01201868250149175,34193.68449454516
2013-05-28,0.011761709853578767,33245.33117543614
2013-05-29,0.011674184286389035,32997.93377286758
2013-05-30,0.011322494553324293,32003.857078892637
2013-05-31,0.011409138002501578,32248.7611105292
2013-06-03,0.011998712426562369,33915.23624250196
2013-06-04,0.01197672917459116,33853.098976645706
2013-06-05,0.011789855653260779,33324.887332089784
2013-06-06,0.011664212805928291,32969.74865570743
2013-06-07,0.011488416770303241,32472.848332842786
2013-06-10,0.01114325560946958,31497.2251246813
2013-06-11,0.010923420603081675,30875.845437348147
2013-06-12,0.010761216735932727,30417.364370527543
2013-06-13,0.010512033047452433,29713.028491631212
2013-06-14,0.010201127600683837,28834.231558979118
2013-06-17,0.009925927274051697,28056.357753863118
2013-06-18,0.009647205432454852,27268.530129727744
2013-06-19,0.00943248322846689,26661.602151468924
2013-06-20,0.009295021337408617,26273.056085537577
2013-06-21,0.012620814676333898,40708.021925201865
2013-06-24,0.012510526079759991,40352.28969059033
2013-06-25,0.012284355995960101,39622.78553683589
2013-06-26,0.011915604216706756,38433.3888219827
2013-06-27,0.01335992240740989,43091.98956067843
2013-06-28,0.013464448777382272,43429.13592323271
2013-07-01,0.01360370405768773,43878.299241865745
2013-07-02,0.013332695576467933,43004.17031450747
2013-07-03,0.013028604297291952,42023.33391230826
